Format,Metric,Year,Revenue[$],Units
Other,Value (Adjusted),1998,0,0
Other,Value (Adjusted),1999,0,0
Other,Value (Adjusted),2000,0,0
Other,Value (Adjusted),2001,0,0
Other,Value (Adjusted),2002,0,0
Other,Value (Adjusted),2003,0,0
Other,Value (Adjusted),2004,0,0
Other,Value (Adjusted),2005,0,0
Other,Value (Adjusted),2006,0,0
Other,Value (Adjusted),2007,0,0
Other,Value (Adjusted),2008,0,0
Other,Value (Adjusted),2009,0,0
Other,Value (Adjusted),2010,0,0
Other,Value (Adjusted),2011,0,0
Other,Value (Adjusted),2012,0,0
Other,Value (Adjusted),2013,0,0
Other,Value (Adjusted),2014,0,0
Other,Value (Adjusted),2015,0,0
Other,Value (Adjusted),2016,281000000,0
Other,Value (Adjusted),2017,617000000,0
Other,Value (Adjusted),2018,761000000,0
Other,Value (Adjusted),2019,829000000,0
Other,Value (Adjusted),1973,0,0
Other,Value (Adjusted),1974,0,0
Other,Value (Adjusted),1975,0,0
Other,Value (Adjusted),1976,0,0
Other,Value (Adjusted),1977,0,0
Other,Value (Adjusted),1978,0,0
Other,Value (Adjusted),1979,0,0
Other,Value (Adjusted),1980,0,0
Other,Value (Adjusted),1981,0,0
Other,Value (Adjusted),1982,0,0
Other,Value (Adjusted),1983,0,0
Other,Value (Adjusted),1984,0,0
Other,Value (Adjusted),1985,0,0
Other,Value (Adjusted),1986,0,0
Other,Value (Adjusted),1987,0,0
Other,Value (Adjusted),1988,0,0
Other,Value (Adjusted),1989,238000000,0
Other,Value (Adjusted),1990,337000000,0
Other,Value (Adjusted),1991,222000000,0
Other,Value (Adjusted),1992,287000000,0
Other,Value (Adjusted),1993,377000000,0
Other,Value (Adjusted),1994,399000000,0
Other,Value (Adjusted),1995,370000000,0
Other,Value (Adjusted),1996,385000000,0
Other,Value (Adjusted),1997,516000000,0
Other,Value (Adjusted),1998,797000000,0
Other,Value (Adjusted),1999,578000000,0
Other,Value (Adjusted),2000,419000000,0
Other,Value (Adjusted),2001,475000000,0
Other,Value (Adjusted),2002,410000000,0
Other,Value (Adjusted),2003,556000000,0
Other,Value (Adjusted),2004,822000000,0
Other,Value (Adjusted),2005,788000000,0
Other,Value (Adjusted),2006,572000000,0
Other,Value (Adjusted),2007,598000000,0
Other,Value (Adjusted),2008,270000000,0
Other,Value (Adjusted),2009,250000000,0
Other,Value (Adjusted),2010,208000000,0
Other,Value (Adjusted),2011,172000000,0
Other,Value (Adjusted),2012,130000000,0
Other,Value (Adjusted),2013,117000000,0
Other,Value (Adjusted),2014,97000000,0
Other,Value (Adjusted),2015,76000000,0
Other,Value (Adjusted),2016,61000000,0
Other,Value (Adjusted),2017,40000000,0
Other,Value (Adjusted),2018,28000000,0
Other,Value (Adjusted),2019,28000000,0
Streaming,Value (Adjusted),1973,0,0
Streaming,Value (Adjusted),1974,0,0
Streaming,Value (Adjusted),1975,0,0
Streaming,Value (Adjusted),1976,0,0
Streaming,Value (Adjusted),1977,0,0
Streaming,Value (Adjusted),1978,0,0
Streaming,Value (Adjusted),1979,0,0
Streaming,Value (Adjusted),1980,0,0
Streaming,Value (Adjusted),1981,0,0
Streaming,Value (Adjusted),1982,0,0
Streaming,Value (Adjusted),1983,0,0
Streaming,Value (Adjusted),1984,0,0
Streaming,Value (Adjusted),1985,0,0
Streaming,Value (Adjusted),1986,0,0
Streaming,Value (Adjusted),1987,0,0
Streaming,Value (Adjusted),1988,0,0
Streaming,Value (Adjusted),1989,0,0
Streaming,Value (Adjusted),1990,0,0
Streaming,Value (Adjusted),1991,0,0
Streaming,Value (Adjusted),1992,0,0
Streaming,Value (Adjusted),1993,0,0
Streaming,Value (Adjusted),1994,0,0
Streaming,Value (Adjusted),1995,0,0
Streaming,Value (Adjusted),1996,0,0
Streaming,Value (Adjusted),1997,0,0
Streaming,Value (Adjusted),1998,0,0
Streaming,Value (Adjusted),1999,0,0
Streaming,Value (Adjusted),2000,0,0
Streaming,Value (Adjusted),2001,0,0
Streaming,Value (Adjusted),2002,0,0
Streaming,Value (Adjusted),2003,0,0
Streaming,Value (Adjusted),2004,0,0
Streaming,Value (Adjusted),2005,0,0
Streaming,Value (Adjusted),2006,0,0
Streaming,Value (Adjusted),2007,0,0
Streaming,Value (Adjusted),2008,0,0
Streaming,Value (Adjusted),2009,0,0
Streaming,Value (Adjusted),2010,0,0
Streaming,Value (Adjusted),2011,129000000,0
Streaming,Value (Adjusted),2012,190000000,0
Streaming,Value (Adjusted),2013,242000000,0
Streaming,Value (Adjusted),2014,306000000,0
Streaming,Value (Adjusted),2015,401000000,0
Streaming,Value (Adjusted),2016,521000000,0
Streaming,Value (Adjusted),2017,687000000,0
Streaming,Value (Adjusted),2018,773000000,0
Streaming,Value (Adjusted),2019,908000000,0
Streaming,Value (Adjusted),1973,0,0
Streaming,Value (Adjusted),1974,0,0
Streaming,Value (Adjusted),1975,0,0
Streaming,Value (Adjusted),1976,0,0
Streaming,Value (Adjusted),1977,0,0
Streaming,Value (Adjusted),1978,0,0
Streaming,Value (Adjusted),1979,0,0
Streaming,Value (Adjusted),1980,0,0
Streaming,Value (Adjusted),1981,0,0
Streaming,Value (Adjusted),1982,0,0
Streaming,Value (Adjusted),1983,0,0
Streaming,Value (Adjusted),1984,0,0
Streaming,Value (Adjusted),1985,0,0
Streaming,Value (Adjusted),1986,0,0
Streaming,Value (Adjusted),1987,0,0
Streaming,Value (Adjusted),1988,0,0
Streaming,Value (Adjusted),1989,0,0
Streaming,Value (Adjusted),1990,0,0
Streaming,Value (Adjusted),1991,0,0
Streaming,Value (Adjusted),1992,0,0
Streaming,Value (Adjusted),1993,0,0
Streaming,Value (Adjusted),1994,0,0
Streaming,Value (Adjusted),1995,0,0
Streaming,Value (Adjusted),1996,0,0
Streaming,Value (Adjusted),1997,0,0
Streaming,Value (Adjusted),1998,0,0
Streaming,Value (Adjusted),1999,0,0
Streaming,Value (Adjusted),2000,0,0
Streaming,Value (Adjusted),2001,0,0
Streaming,Value (Adjusted),2002,0,0
Streaming,Value (Adjusted),2003,0,0
Streaming,Value (Adjusted),2004,0,0
Streaming,Value (Adjusted),2005,0,0
Streaming,Value (Adjusted),2006,0,0
Streaming,Value (Adjusted),2007,0,0
Streaming,Value (Adjusted),2008,0,0
Streaming,Value (Adjusted),2009,0,0
Streaming,Value (Adjusted),2010,0,0
Streaming,Value (Adjusted),2011,0,0
Streaming,Value (Adjusted),2012,0,0
Streaming,Value (Adjusted),2013,0,0
Streaming,Value (Adjusted),2014,0,0
Streaming,Value (Adjusted),2015,0,0
Streaming,Value (Adjusted),2016,87000000,0
Streaming,Value (Adjusted),2017,273000000,0
Streaming,Value (Adjusted),2018,256000000,0
Streaming,Value (Adjusted),2019,251000000,0
Download,Value (Adjusted),1973,0,0
Download,Value (Adjusted),1974,0,0
Download,Value (Adjusted),1975,0,0
Download,Value (Adjusted),1976,0,0
Download,Value (Adjusted),1977,0,0
Download,Value (Adjusted),1978,0,0
Download,Value (Adjusted),1979,0,0
Download,Value (Adjusted),1980,0,0
Download,Value (Adjusted),1981,0,0
Download,Value (Adjusted),1982,0,0
Download,Value (Adjusted),1983,0,0
Download,Value (Adjusted),1984,0,0
Download,Value (Adjusted),1985,0,0
Download,Value (Adjusted),1986,0,0
Download,Value (Adjusted),1987,0,0
Download,Value (Adjusted),1988,0,0
Download,Value (Adjusted),1989,0,0
Download,Value (Adjusted),1990,0,0
Download,Value (Adjusted),1991,0,0
Download,Value (Adjusted),1992,0,0
Download,Value (Adjusted),1993,0,0
Download,Value (Adjusted),1994,0,0
Download,Value (Adjusted),1995,0,0
Download,Value (Adjusted),1996,0,0
Download,Value (Adjusted),1997,0,0
Download,Value (Adjusted),1998,0,0
Download,Value (Adjusted),1999,0,0
Download,Value (Adjusted),2000,0,0
Download,Value (Adjusted),2001,0,0
Download,Value (Adjusted),2002,0,0
Download,Value (Adjusted),2003,0,0
Download,Value (Adjusted),2004,0,0
Download,Value (Adjusted),2005,0,0
Download,Value (Adjusted),2006,0,0
Download,Value (Adjusted),2007,0,0
Download,Value (Adjusted),2008,0,0
Download,Value (Adjusted),2009,0,0
Download,Value (Adjusted),2010,0,0
Download,Value (Adjusted),2011,0,0
Download,Value (Adjusted),2012,0,0
Download,Value (Adjusted),2013,0,0
Download,Value (Adjusted),2014,0,0
Download,Value (Adjusted),2015,0,0
Download,Value (Adjusted),2016,18000000,0
Download,Value (Adjusted),2017,18000000,0
Download,Value (Adjusted),2018,20000000,0
Download,Value (Adjusted),2019,22000000,0
Tape,Value (Adjusted),1973,90000000,0
Tape,Value (Adjusted),1974,69000000,0
Tape,Value (Adjusted),1975,48000000,0
Tape,Value (Adjusted),1976,23000000,0
Tape,Value (Adjusted),1977,0,0
Tape,Value (Adjusted),1978,0,0
Tape,Value (Adjusted),1979,0,0
Tape,Value (Adjusted),1980,0,0
Tape,Value (Adjusted),1981,0,0
Tape,Value (Adjusted),1982,0,0
Tape,Value (Adjusted),1983,0,0
Tape,Value (Adjusted),1984,0,0
Tape,Value (Adjusted),1985,0,0
Tape,Value (Adjusted),1986,0,0
Tape,Value (Adjusted),1987,0,0
Tape,Value (Adjusted),1988,0,0
Tape,Value (Adjusted),1989,0,0
Tape,Value (Adjusted),1990,0,0
Tape,Value (Adjusted),1991,0,0
Tape,Value (Adjusted),1992,0,0
Tape,Value (Adjusted),1993,0,0
Tape,Value (Adjusted),1994,0,0
Tape,Value (Adjusted),1995,0,0
Tape,Value (Adjusted),1996,0,0
Tape,Value (Adjusted),1997,0,0
Tape,Value (Adjusted),1998,0,0
Tape,Value (Adjusted),1999,0,0
Tape,Value (Adjusted),2000,0,0
Tape,Value (Adjusted),2001,0,0
Tape,Value (Adjusted),2002,0,0
Tape,Value (Adjusted),2003,0,0
Tape,Value (Adjusted),2004,0,0
Tape,Value (Adjusted),2005,0,0
Tape,Value (Adjusted),2006,0,0
Tape,Value (Adjusted),2007,0,0
Tape,Value (Adjusted),2008,0,0
Tape,Value (Adjusted),2009,0,0
Tape,Value (Adjusted),2010,0,0
Tape,Value (Adjusted),2011,0,0
Tape,Value (Adjusted),2012,0,0
Tape,Value (Adjusted),2013,0,0
Tape,Value (Adjusted),2014,0,0
Tape,Value (Adjusted),2015,0,0
Tape,Value (Adjusted),2016,0,0
Tape,Value (Adjusted),2017,0,0
Tape,Value (Adjusted),2018,0,0
Tape,Value (Adjusted),2019,0,0
Streaming,Value (Adjusted),1973,0,0
Streaming,Value (Adjusted),1974,0,0
Streaming,Value (Adjusted),1975,0,0
Streaming,Value (Adjusted),1976,0,0
Streaming,Value (Adjusted),1977,0,0
Streaming,Value (Adjusted),1978,0,0
Streaming,Value (Adjusted),1979,0,0
Streaming,Value (Adjusted),1980,0,0
Streaming,Value (Adjusted),1981,0,0
Streaming,Value (Adjusted),1982,0,0
Streaming,Value (Adjusted),1983,0,0
Streaming,Value (Adjusted),1984,0,0
Streaming,Value (Adjusted),1985,0,0
Streaming,Value (Adjusted),1986,0,0
Streaming,Value (Adjusted),1987,0,0
Streaming,Value (Adjusted),1988,0,0
Streaming,Value (Adjusted),1989,0,0
Streaming,Value (Adjusted),1990,0,0
Streaming,Value (Adjusted),1991,0,0
Streaming,Value (Adjusted),1992,0,0
Streaming,Value (Adjusted),1993,0,0
Streaming,Value (Adjusted),1994,0,0
Streaming,Value (Adjusted),1995,0,0
Streaming,Value (Adjusted),1996,0,0
Streaming,Value (Adjusted),1997,0,0
Streaming,Value (Adjusted),1998,0,0
Streaming,Value (Adjusted),1999,0,0
Streaming,Value (Adjusted),2000,0,0
Streaming,Value (Adjusted),2001,0,0
Streaming,Value (Adjusted),2002,0,0
Streaming,Value (Adjusted),2003,0,0
Streaming,Value (Adjusted),2004,0,0
Streaming,Value (Adjusted),2005,195000000,0
Streaming,Value (Adjusted),2006,261000000,0
Streaming,Value (Adjusted),2007,289000000,0
Streaming,Value (Adjusted),2008,263000000,0
Streaming,Value (Adjusted),2009,246000000,0
Streaming,Value (Adjusted),2010,249000000,0
Streaming,Value (Adjusted),2011,282000000,0
Streaming,Value (Adjusted),2012,445000000,0
Streaming,Value (Adjusted),2013,706000000,0
Streaming,Value (Adjusted),2014,832000000,0
Streaming,Value (Adjusted),2015,1248000000,0
Streaming,Value (Adjusted),2016,2390000000,0
Streaming,Value (Adjusted),2017,3651000000,0
Streaming,Value (Adjusted),2018,4740000000,0
Streaming,Value (Adjusted),2019,5934000000,0
Other,Value (Adjusted),1973,0,0
Other,Value (Adjusted),1974,0,0
Other,Value (Adjusted),1975,0,0
Other,Value (Adjusted),1976,0,0
Other,Value (Adjusted),1977,0,0
Other,Value (Adjusted),1978,0,0
Other,Value (Adjusted),1979,0,0
Other,Value (Adjusted),1980,0,0
Other,Value (Adjusted),1981,0,0
Other,Value (Adjusted),1982,0,0
Other,Value (Adjusted),1983,0,0
Other,Value (Adjusted),1984,0,0
Other,Value (Adjusted),1985,0,0
Other,Value (Adjusted),1986,0,0
Other,Value (Adjusted),1987,0,0
Other,Value (Adjusted),1988,0,0
Other,Value (Adjusted),1989,0,0
Other,Value (Adjusted),1990,0,0
Other,Value (Adjusted),1991,0,0
Other,Value (Adjusted),1992,0,0
Other,Value (Adjusted),1993,0,0
Other,Value (Adjusted),1994,0,0
Other,Value (Adjusted),1995,0,0
Other,Value (Adjusted),1996,0,0
Other,Value (Adjusted),1997,0,0
Other,Value (Adjusted),1998,0,0
Other,Value (Adjusted),1999,0,0
Other,Value (Adjusted),2000,0,0
Other,Value (Adjusted),2001,0,0
Other,Value (Adjusted),2002,0,0
Other,Value (Adjusted),2003,0,0
Other,Value (Adjusted),2004,0,0
Other,Value (Adjusted),2005,552000000,0
Other,Value (Adjusted),2006,981000000,0
Other,Value (Adjusted),2007,1302000000,0
Other,Value (Adjusted),2008,1160000000,0
Other,Value (Adjusted),2009,838000000,0
Other,Value (Adjusted),2010,525000000,0
Other,Value (Adjusted),2011,314000000,0
Other,Value (Adjusted),2012,163000000,0
Other,Value (Adjusted),2013,108000000,0
Other,Value (Adjusted),2014,72000000,0
Other,Value (Adjusted),2015,59000000,0
Other,Value (Adjusted),2016,60000000,0
Other,Value (Adjusted),2017,37000000,0
Other,Value (Adjusted),2018,25000000,0
Other,Value (Adjusted),2019,21000000,0
CD,Value (Adjusted),1973,0,0
CD,Value (Adjusted),1974,0,0
CD,Value (Adjusted),1975,0,0
CD,Value (Adjusted),1976,0,0
CD,Value (Adjusted),1977,0,0
CD,Value (Adjusted),1978,0,0
CD,Value (Adjusted),1979,0,0
CD,Value (Adjusted),1980,0,0
CD,Value (Adjusted),1981,0,0
CD,Value (Adjusted),1982,0,0
CD,Value (Adjusted),1983,0,0
CD,Value (Adjusted),1984,0,0
CD,Value (Adjusted),1985,0,0
CD,Value (Adjusted),1986,0,0
CD,Value (Adjusted),1987,0,0
CD,Value (Adjusted),1988,0,0
CD,Value (Adjusted),1989,0,0
CD,Value (Adjusted),1990,0,0
CD,Value (Adjusted),1991,0,0
CD,Value (Adjusted),1992,0,0
CD,Value (Adjusted),1993,0,0
CD,Value (Adjusted),1994,0,0
CD,Value (Adjusted),1995,0,0
CD,Value (Adjusted),1996,0,0
CD,Value (Adjusted),1997,0,0
CD,Value (Adjusted),1998,0,0
CD,Value (Adjusted),1999,0,0
CD,Value (Adjusted),2000,0,0
CD,Value (Adjusted),2001,0,0
CD,Value (Adjusted),2002,0,0
CD,Value (Adjusted),2003,37000000,0
CD,Value (Adjusted),2004,22000000,0
CD,Value (Adjusted),2005,13000000,0
CD,Value (Adjusted),2006,7000000,0
CD,Value (Adjusted),2007,4000000,0
CD,Value (Adjusted),2008,4000000,0
CD,Value (Adjusted),2009,3000000,0
CD,Value (Adjusted),2010,2000000,0
CD,Value (Adjusted),2011,2000000,0
CD,Value (Adjusted),2012,1000000,0
CD,Value (Adjusted),2013,1000000,0
CD,Value (Adjusted),2014,1000000,0
CD,Value (Adjusted),2015,1000000,0
CD,Value (Adjusted),2016,1000000,0
CD,Value (Adjusted),2017,1000000,0
CD,Value (Adjusted),2018,1000000,0
CD,Value (Adjusted),2019,0,0
Streaming,Value (Adjusted),1973,0,0
Streaming,Value (Adjusted),1974,0,0
Streaming,Value (Adjusted),1975,0,0
Streaming,Value (Adjusted),1976,0,0
Streaming,Value (Adjusted),1977,0,0
Streaming,Value (Adjusted),1978,0,0
Streaming,Value (Adjusted),1979,0,0
Streaming,Value (Adjusted),1980,0,0
Streaming,Value (Adjusted),1981,0,0
Streaming,Value (Adjusted),1982,0,0
Streaming,Value (Adjusted),1983,0,0
Streaming,Value (Adjusted),1984,0,0
Streaming,Value (Adjusted),1985,0,0
Streaming,Value (Adjusted),1986,0,0
Streaming,Value (Adjusted),1987,0,0
Streaming,Value (Adjusted),1988,0,0
Streaming,Value (Adjusted),1989,0,0
Streaming,Value (Adjusted),1990,0,0
Streaming,Value (Adjusted),1991,0,0
Streaming,Value (Adjusted),1992,0,0
Streaming,Value (Adjusted),1993,0,0
Streaming,Value (Adjusted),1994,0,0
Streaming,Value (Adjusted),1995,0,0
Streaming,Value (Adjusted),1996,0,0
Streaming,Value (Adjusted),1997,0,0
Streaming,Value (Adjusted),1998,0,0
Streaming,Value (Adjusted),1999,0,0
Streaming,Value (Adjusted),2000,0,0
Streaming,Value (Adjusted),2001,0,0
Streaming,Value (Adjusted),2002,0,0
Streaming,Value (Adjusted),2003,0,0
Streaming,Value (Adjusted),2004,9000000,0
Streaming,Value (Adjusted),2005,27000000,0
Streaming,Value (Adjusted),2006,42000000,0
Streaming,Value (Adjusted),2007,45000000,0
Streaming,Value (Adjusted),2008,119000000,0
Streaming,Value (Adjusted),2009,185000000,0
Streaming,Value (Adjusted),2010,292000000,0
Streaming,Value (Adjusted),2011,332000000,0
Streaming,Value (Adjusted),2012,514000000,0
Streaming,Value (Adjusted),2013,648000000,0
Streaming,Value (Adjusted),2014,835000000,0
Streaming,Value (Adjusted),2015,866000000,0
Streaming,Value (Adjusted),2016,942000000,0
Streaming,Value (Adjusted),2017,680000000,0
Streaming,Value (Adjusted),2018,970000000,0
Streaming,Value (Adjusted),2019,908000000,0
Other,Value (Adjusted),1973,0,0
Other,Value (Adjusted),1974,0,0
Other,Value (Adjusted),1975,0,0
Other,Value (Adjusted),1976,0,0
Other,Value (Adjusted),1977,0,0
Other,Value (Adjusted),1978,0,0
Other,Value (Adjusted),1979,0,0
Other,Value (Adjusted),1980,0,0
Other,Value (Adjusted),1981,0,0
Other,Value (Adjusted),1982,0,0
Other,Value (Adjusted),1983,0,0
Other,Value (Adjusted),1984,0,0
Other,Value (Adjusted),1985,0,0
Other,Value (Adjusted),1986,0,0
Other,Value (Adjusted),1987,0,0
Other,Value (Adjusted),1988,0,0
Other,Value (Adjusted),1989,0,0
Other,Value (Adjusted),1990,0,0
Other,Value (Adjusted),1991,0,0
Other,Value (Adjusted),1992,0,0
Other,Value (Adjusted),1993,0,0
Other,Value (Adjusted),1994,0,0
Other,Value (Adjusted),1995,0,0
Other,Value (Adjusted),1996,0,0
Other,Value (Adjusted),1997,0,0
Other,Value (Adjusted),1998,0,0
Other,Value (Adjusted),1999,0,0
Other,Value (Adjusted),2000,0,0
Other,Value (Adjusted),2001,0,0
Other,Value (Adjusted),2002,0,0
Other,Value (Adjusted),2003,0,0
Other,Value (Adjusted),2004,0,0
Other,Value (Adjusted),2005,0,0
Other,Value (Adjusted),2006,0,0
Other,Value (Adjusted),2007,0,0
Other,Value (Adjusted),2008,0,0
Other,Value (Adjusted),2009,240000000,0
Other,Value (Adjusted),2010,221000000,0
Other,Value (Adjusted),2011,223000000,0
Other,Value (Adjusted),2012,212000000,0
Other,Value (Adjusted),2013,208000000,0
Other,Value (Adjusted),2014,205000000,0
Other,Value (Adjusted),2015,219000000,0
Other,Value (Adjusted),2016,229000000,0
Other,Value (Adjusted),2017,242000000,0
Other,Value (Adjusted),2018,291000000,0
Other,Value (Adjusted),2019,276000000,0
Vinyl,Value (Adjusted),1973,1094000000,0
Vinyl,Value (Adjusted),1974,1006000000,0
Vinyl,Value (Adjusted),1975,1005000000,0
Vinyl,Value (Adjusted),1976,1101000000,0
Vinyl,Value (Adjusted),1977,1034000000,0
Vinyl,Value (Adjusted),1978,1021000000,0
Vinyl,Value (Adjusted),1979,1245000000,0
Vinyl,Value (Adjusted),1980,776000000,0
Vinyl,Value (Adjusted),1981,721000000,0
Vinyl,Value (Adjusted),1982,750000000,0
Vinyl,Value (Adjusted),1983,691000000,0
Vinyl,Value (Adjusted),1984,735000000,0
Vinyl,Value (Adjusted),1985,668000000,0
Vinyl,Value (Adjusted),1986,532000000,0
Vinyl,Value (Adjusted),1987,458000000,0
Vinyl,Value (Adjusted),1988,390000000,0
Vinyl,Value (Adjusted),1989,240000000,0
Vinyl,Value (Adjusted),1990,185000000,0
Vinyl,Value (Adjusted),1991,120000000,0
Vinyl,Value (Adjusted),1992,121000000,0
Vinyl,Value (Adjusted),1993,91000000,0
Vinyl,Value (Adjusted),1994,81000000,0
Vinyl,Value (Adjusted),1995,78000000,0
Vinyl,Value (Adjusted),1996,77000000,0
Vinyl,Value (Adjusted),1997,57000000,0
Vinyl,Value (Adjusted),1998,40000000,0
Vinyl,Value (Adjusted),1999,43000000,0
Vinyl,Value (Adjusted),2000,39000000,0
Vinyl,Value (Adjusted),2001,45000000,0
Vinyl,Value (Adjusted),2002,35000000,0
Vinyl,Value (Adjusted),2003,30000000,0
Vinyl,Value (Adjusted),2004,27000000,0
Vinyl,Value (Adjusted),2005,17000000,0
Vinyl,Value (Adjusted),2006,13000000,0
Vinyl,Value (Adjusted),2007,5000000,0
Vinyl,Value (Adjusted),2008,3000000,0
Vinyl,Value (Adjusted),2009,3000000,0
Vinyl,Value (Adjusted),2010,3000000,0
Vinyl,Value (Adjusted),2011,5000000,0
Vinyl,Value (Adjusted),2012,5000000,0
Vinyl,Value (Adjusted),2013,3000000,0
Vinyl,Value (Adjusted),2014,6000000,0
Vinyl,Value (Adjusted),2015,6000000,0
Vinyl,Value (Adjusted),2016,5000000,0
Vinyl,Value (Adjusted),2017,6000000,0
Vinyl,Value (Adjusted),2018,5000000,0
Vinyl,Value (Adjusted),2019,7000000,0
CD,Units,2020,0,32000000
CD,Units,2020,0,0
Download,Units,2020,0,33000000
Download,Units,2020,0,1000000
Download,Units,2020,0,249000000
DVD,Units,2020,0,0
Other,Units,2020,0,1000000
Vinyl,Units,2020,0,24000000
Other,Units,2020,0,1000000
Other,Units,2020,0,8000000
CD,Units,2020,0,0
Vinyl,Units,2020,0,0
Vinyl,Value,2020,644000000,0
Vinyl,Value,2020,6000000,0
CD,Value,2020,483000000,0
CD,Value,2020,0,0
CD,Value,2020,0,0
Download,Value,2020,319000000,0
Download,Value,2020,2000000,0
Download,Value,2020,303000000,0
DVD,Value,2020,2000000,0
Other,Value,2020,1000000,0
Streaming,Value,2020,6973000000,0
Streaming,Value,2020,1200000000,0
Streaming,Value,2020,211000000,0
Streaming,Value,2020,947000000,0
Other,Value,2020,720000000,0
Other,Value,2020,27000000,0
Download,Value,2020,19000000,0
Other,Value,2020,20000000,0
Other,Value,2020,265000000,0
Vinyl,Value (Adjusted),2020,674000000,0
Vinyl,Value (Adjusted),2020,7000000,0
CD,Value (Adjusted),2020,506000000,0
CD,Value (Adjusted),2020,0,0
CD,Value (Adjusted),2020,0,0
Download,Value (Adjusted),2020,334000000,0
Download,Value (Adjusted),2020,2000000,0
Download,Value (Adjusted),2020,318000000,0
DVD,Value (Adjusted),2020,2000000,0
Other,Value (Adjusted),2020,1000000,0
Streaming,Value (Adjusted),2020,7300000000,0
Streaming,Value (Adjusted),2020,1257000000,0
Streaming,Value (Adjusted),2020,221000000,0
Streaming,Value (Adjusted),2020,992000000,0
Other,Value (Adjusted),2020,754000000,0
Other,Value (Adjusted),2020,29000000,0
Download,Value (Adjusted),2020,20000000,0
Other,Value (Adjusted),2020,21000000,0
Other,Value (Adjusted),2020,278000000,0
CD,Units,2021,0,47000000
CD,Units,2021,0,0
Download,Units,2021,0,29000000
Download,Units,2021,0,1000000
Download,Units,2021,0,209000000
DVD,Units,2021,0,0
Other,Units,2021,0,0
Vinyl,Units,2021,0,40000000
Other,Units,2021,0,1000000
Other,Units,2021,0,6000000
CD,Units,2021,0,0
Vinyl,Units,2021,0,0
Vinyl,Value,2021,1038000000,0
Vinyl,Value,2021,8000000,0
CD,Value,2021,584000000,0
CD,Value,2021,0,0
CD,Value,2021,0,0
Download,Value,2021,282000000,0
Download,Value,2021,2000000,0
Download,Value,2021,256000000,0
DVD,Value,2021,6000000,0
Other,Value,2021,1000000,0
Streaming,Value,2021,8574000000,0
Streaming,Value,2021,1761000000,0
Streaming,Value,2021,209000000,0
Streaming,Value,2021,993000000,0
Other,Value,2021,907000000,0
Other,Value,2021,20000000,0
Download,Value,2021,31000000,0
Other,Value,2021,15000000,0
Other,Value,2021,303000000,0
Vinyl,Value (Adjusted),2021,1038000000,0
Vinyl,Value (Adjusted),2021,8000000,0
CD,Value (Adjusted),2021,584000000,0
CD,Value (Adjusted),2021,0,0
CD,Value (Adjusted),2021,0,0
Download,Value (Adjusted),2021,282000000,0
Download,Value (Adjusted),2021,2000000,0
Download,Value (Adjusted),2021,256000000,0
DVD,Value (Adjusted),2021,6000000,0
Other,Value (Adjusted),2021,1000000,0
Streaming,Value (Adjusted),2021,8574000000,0
Streaming,Value (Adjusted),2021,1761000000,0
Streaming,Value (Adjusted),2021,209000000,0
Streaming,Value (Adjusted),2021,993000000,0
Other,Value (Adjusted),2021,907000000,0
Other,Value (Adjusted),2021,20000000,0
Download,Value (Adjusted),2021,31000000,0
Other,Value (Adjusted),2021,15000000,0
Other,Value (Adjusted),2021,303000000,0